uid,user_name,fans_count,friend_count,topic_focus_count,agree_count,views_count,reputation,flagged
141,hei544n,8,0,0,3,289,0,0
142,vykuu,7,0,0,0,71,0,0
143,thepooper,8,0,0,0,67,0,0
144,Dover,7,0,0,0,81,0,0
145,魔法师,7,0,0,0,66,0,0
146,长者,8,0,0,0,116,0,0
208,baby,10,0,0,0,64,0,0
147,pjx39,8,0,0,0,73,0,0
148,athlonamd,8,1,0,28,478,10.26,0
149,洛克,7,0,0,0,60,0,0
150,DirectorDenial,7,0,0,0,63,0,0
151,螳臂当车,0,3,29,0,155,0,0
152,匪性难改,8,0,0,15,307,3.5,0
153,治国理政,9,0,0,2,165,0,0
154,习禁评,5,0,0,108,627,12.46,0
155,FrankHYoung,5,0,3,50,324,11.9,0
156,LiveLong,1,4,2,75,470,22.3,0
157,bluestar,7,0,0,0,73,0,0
158,大陆韭菜a,7,0,2,0,71,0,0
159,minwooilbo,38,0,376,2003,2710,921.6,1
160,torasan,8,0,0,0,76,0,0
161,媛水救不了近火,7,0,0,20,189,1,0
162,100cent,8,0,10,0,301,-2,0
163,陈冠希,8,0,1,7,187,2,0
164,LoveLycar,7,0,0,3,128,0.2,0
165,rtgzddgh,76,117,3,1628,7854,490.458,0
166,老鱼干,7,0,0,0,67,0,0
167,管理员,15,0,2,100,675,38.1,0
168,布林顿,7,0,0,1,127,0.3,0
181,Wsddsll,8,0,0,0,58,0,0
169,Aykkito,8,0,2,2,185,0,0
170,Nikola_Tesla,8,3,1,1,169,-2,0
171,cmm,6,0,0,0,75,0,0
172,LukaSkywalker,13,0,0,84,634,35.5,0
173,lzxc,2,3,9,218,631,21.8729,0
174,Darkjack,6,0,0,0,64,0,0
175,FooBar,8,2,0,0,117,0,0
176,荣誉非国民,176,2,0,3747,11539,639.629,0
195,court,8,0,0,0,63,0,0
177,tricoro,7,0,0,0,63,0,0
178,lynn,7,0,0,0,82,0,0
179,ppfuns,7,0,0,0,199,1,0
